id,codigo,descripcion
catalogos.cie102,A207,A207 PESTE SEPTICEMICA
catalogos.cie103,A208,A208 OTRAS FORMAS DE PESTE
catalogos.cie104,A209,"A209 PESTE, NO ESPECIFICADA"
catalogos.cie105,A210,A210 TULAREMIA ULCEROGLANDULAR
catalogos.cie106,A211,A211 TULAREMIA OCULOGLANDULAR
catalogos.cie107,A212,A212 TULAREMIA PULMONAR
catalogos.cie108,A213,A213 TULAREMIA GASTROINTESTINAL
catalogos.cie109,A217,A217 TULAREMIA GENERALIZADA
catalogos.cie110,A218,A218 OTRAS FORMAS DE TULAREMIA
catalogos.cie111,A219,"A219 TULAREMIA , NO ESPECIFICADA"
catalogos.cie112,A220,A220 CARBUNCO CUTANEO
catalogos.cie113,A221,A221 CARBUNCO PULMONAR
catalogos.cie114,A222,A222 CARBUNCO GASTROINTESTINAL
catalogos.cie115,A227,A227 CARBUNCO SEPTICEMICO
catalogos.cie116,A228,A228 OTRAS FORMAS DE CARBUNCO
catalogos.cie117,A229,"A229 CARBUNCO, NO ESPECIFICADO"
catalogos.cie118,A230,A230 BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS
catalogos.cie119,A231,A231 BRUCELOSIS DEBIDA A BRUCELLA ABORTUS
catalogos.cie120,A232,A232 BRUCELOSIS DEBIDA A BRUCELLA SUIS
catalogos.cie121,A233,A233 BRUCELOSIS DEBIDA A BRUCELLA CANIS
catalogos.cie122,A238,A238 OTRAS BRUCELOSIS
catalogos.cie123,A239,"A239 BRUCELOSIS, NO ESPECIFICADA"
catalogos.cie124,A240,A240 MUERMO
catalogos.cie125,A241,A241 MELIOIDOSIS AGUDA Y FULMINANTE
catalogos.cie126,A242,A242 MELIOIDOSIS SUBAGUDA Y CRONICA
catalogos.cie127,A243,A243 OTRAS MELIOIDOSIS
catalogos.cie128,A244,"A244 MELIOIDOSIS , NO ESPECIFICADA"
catalogos.cie129,A250,A250 ESPIRILOSIS
catalogos.cie130,A251,A251 ESTREPTOBACILOSIS
catalogos.cie131,A259,"A259 FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA"
catalogos.cie132,A260,A260 ERISIPELOIDE CUTANEO
catalogos.cie133,A267,A267 SEPTICEMIA POR ERYSIPELOTHRIX
catalogos.cie134,A268,A268 OTRAS FORMAS DE ERISIPELOIDE
catalogos.cie135,A269,"A269 ERISIPELOIDE, NO ESPECIFICADA"
catalogos.cie136,A270,A270 LEPTOSPIROSIS ICTEROHEMORRAGICA
catalogos.cie137,A278,A278 OTRAS FORMAS DE LEPTOSPIROSIS
catalogos.cie138,A279,"A279 LEPTOSPIROSIS, NO ESPECIFICADA"
catalogos.cie139,A280,A280 PASTEURELOSIS
catalogos.cie140,A281,A281 ENFERMEDAD POR RASGUÑO DE GATO
catalogos.cie141,A282,A282 YERSINIOSIS EXTRAINTESTINAL
catalogos.cie142,A288,"A288 OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS ESPECIFICADAS, NO CLASIFICADAS EN OTRA PARTE"
catalogos.cie143,A289,"A289 ENFERMEDAD ZOONOTICA BACTERIANA, SIN OTRA ESPECIFICACION"
catalogos.cie144,A300,A300 LEPRA INDETERMINADA
catalogos.cie145,A301,A301 LEPRA TUBERCULOIDE
catalogos.cie146,A302,A302 LEPRA TUBERCULOIDE LIMITROFE
catalogos.cie147,A303,A303 LEPRA LIMITROFE
catalogos.cie148,A304,A304 LEPRA LEPROMATOSA LIMITROFE
catalogos.cie149,A305,A305 LEPRA LEPROMATOSA
catalogos.cie150,A308,A308 OTRAS FORMAS DE LEPRA
catalogos.cie151,A309,"A309 LEPRA, NO ESPECIFICADA"
catalogos.cie152,A310,A310 INFECCIONES POR MICOBACTERIAS PULMONARES
catalogos.cie153,A311,A311 INFECCION CUTANEA POR MICOBACTERIAS
catalogos.cie154,A318,A318 OTRAS INFECCIONES POR MICOBACTERIAS
catalogos.cie155,A319,"A319 INFECCION POR MICOBACTERIA, NO ESPECIFICADA"
catalogos.cie156,A320,A320 LISTERIOSIS CUTANEA
catalogos.cie157,A321†,A321† MENINGITIS Y MENINGOENCEFALITIS LISTERIANA
catalogos.cie158,A327,A327 SEPTICEMIA LISTERIANA
catalogos.cie159,A328,A328 OTRAS FORMAS DE LISTERIOSIS
catalogos.cie160,A329,"A329 LISTERIOSIS, NO ESPECIFICADA"
catalogos.cie161,A33,A33 TETANOS NEONATAL
catalogos.cie162,A34,A34 TETANOS OBSTETRICO
catalogos.cie163,A35,A35 OTROS TETANOS
catalogos.cie164,A360,A360 DIFTERIA FARINGEA
catalogos.cie165,A361,A361 DIFTERIA NASOFARINGEA
catalogos.cie166,A362,A362 DIFTERIA LARINGEA
catalogos.cie167,A363,A363 DIFTERIA CUTANEA
catalogos.cie168,A368,A368 OTRAS DIFTERIAS
catalogos.cie169,A369,"A369 DIFTERIA, NO ESPECIFICADA"
catalogos.cie170,A370,A370 TOS FERINA DEBIDA A BORDETELLA PERTUSSIS
catalogos.cie171,A371,A371 TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS
catalogos.cie172,A378,A378 TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA
catalogos.cie173,A379,"A379 TOS FERINA, NO ESPECIFICADA"
catalogos.cie174,A38,A38 ESCARLATINA
catalogos.cie175,A390†,A390† MENINGITIS MENINGOCOCICA (G01*)
catalogos.cie176,A391†,A391† SINDROME DE WATERHOUSE-FRIDERICHSEN (E35.1*)
catalogos.cie177,A392,A392 MENINGOCOCEMIA AGUDA
catalogos.cie178,A393,A393 MENINGOCOCEMIA CRONICA
catalogos.cie179,A394,"A394 MENINGOCOCEMIA, NO ESPECIFICADA"
catalogos.cie180,A395†,A395† ENFERMEDAD CARDIACA DEBIDA A MENINGOCOCO
catalogos.cie181,A398,A398 OTRAS INFECCIONES MENINGOCOCICAS
catalogos.cie182,A399,"A399 INFECCION MENINGOCOCICA, NO ESPECIFICADA"
catalogos.cie183,A400,"A400 SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO A"
catalogos.cie184,A401,"A401 SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO B"
catalogos.cie185,A402,"A402 SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO D"
catalogos.cie186,A403,A403 SEPTICEMIA DEBIDA A STREPTOCOCCUS PNEUMONIAE
catalogos.cie187,A408,A408 OTRAS SEPTICEMIAS ESTREPTOCOCICAS
catalogos.cie188,A409,"A409 SEPTICEMIA ESTREPTOCOCICA, NO ESPECIFICADA"
catalogos.cie189,A410,A410 SEPTICEMIA DEBIDA STAPHYLOCOCCUS AUREUS
catalogos.cie190,A411,A411 SEPTICEMIA DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO
catalogos.cie191,A412,A412 SEPTICEMIA DEBIDA A ESTAFILOCOCO NO ESPECIFICADO
catalogos.cie192,A413,A413 SEPTICEMIA DEBIDA A HAEMOPHILUS INFLUENZAE
catalogos.cie193,A414,A414 SEPTICEMIA DEBIDA A ANAEROBIOS
catalogos.cie194,A415,A415 SEPTICEMIA DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS
catalogos.cie195,A418,A418 OTRAS SEPTICEMIAS ESPECIFICADAS
catalogos.cie196,A419,"A419 SEPTICEMIA, NO ESPECIFICADA"
catalogos.cie197,A420,A420 ACTINOMICOSIS PULMONAR
catalogos.cie198,A421,A421 ACTINOMICOSIS ABDOMINAL
catalogos.cie199,A422,A422 ACTINOMICOSIS CERVICOFACIAL
catalogos.cie200,A427,A427 SEPTICEMIA ACTINOMICOTICA
catalogos.cie201,A428,A428 OTRAS FORMAS DE ACTINOMICOSIS
catalogos.cie202,A429,"A429 ACTINOMICOSIS, SIN OTRA ESPECIFICACION"
catalogos.cie203,A430,A430 NOCARDIOSIS PULMONAR
catalogos.cie204,A431,A431 NOCARDIOSIS CUTANEA
catalogos.cie205,A438,A438 OTRAS FORMAS DE NOCARDIOSIS
catalogos.cie206,A439,"A439 NORCARDIOSIS , NO ESPECIFICADA"
catalogos.cie207,A440,A440 BARTONELOSIS SISTEMICA
catalogos.cie208,A441,A441 BARTONELOSIS CUTANEA Y MUCOCUTANEA
catalogos.cie209,A448,A448 OTRAS FORMAS DE BARTONELOSIS
catalogos.cie210,A449,"A449 BARTONELOSIS, NO ESPECIFICADA"
catalogos.cie211,A46,A46 ERISIPELA
catalogos.cie212,A480,A480 GANGRENA GASEOSA
catalogos.cie213,A481,A481 ENFERMEDAD DE LOS LEGIONARIOS
catalogos.cie214,A482,A482 ENFERMEDAD DE LOS LEGIONARIOS NO NEUMONICA [FIEBRE DE PONTIAC]
catalogos.cie215,A483,A483 SINDROME DE CHOQUE TOXICO
catalogos.cie216,A484,A484 FIEBRE PURPURICA BRASILEÑA
catalogos.cie217,A488,A488 OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS
catalogos.cie218,A490,"A490 INFECCION ESTAFILOCOCICA, SIN OTRA ESPECIFICACIÓN"
catalogos.cie219,A491,"A491 INFECCION ESTREPTOCOCICA, SIN OTRA ESPECIFICACION"
catalogos.cie220,A492,"A492 INFECCION POR HAEMOPHILUS INFLUENZAE, SIN OTRA ESPECIFICACION"
catalogos.cie221,A493,"A493 INFECCION POR MICOPLASMA, SIN OTRA ESPECIFICACION"
catalogos.cie222,A498,A498 OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO
catalogos.cie223,A499,"A499 INFECCION BACTERIANA, NO ESPECIFICADA"
catalogos.cie224,A500,"A500 SIFILIS CONGENITA PRECOZ, SINTOMATICA"
catalogos.cie225,A501,"A501 SIFILIS CONGENITA PRECOZ, LATENTE"
catalogos.cie226,A502,A502 SIFILIS CONGENITA PRECOZ SIN OTRA ESPECIFICACIÓN
catalogos.cie227,A503,A503 OCULOPATIA SIFILITICA CONGENITA TARDIA
catalogos.cie228,A504,A504 NEUROSIFILIS CONGENITA TARDIA [NEUROSIFILIS JUVENIL]
catalogos.cie229,A505,"A505 OTRAS FORMAS DE SIFILIS CONGENITA TARDIA, SINTOMATICA"
catalogos.cie230,A506,"A506 SIFILIS CONGENITA TARDIA, LATENTE"
catalogos.cie231,A507,"A507 SIFILIS CONGENITA TARDIA, SIN OTRA ESPECIFICACION"
catalogos.cie232,A509,"A509 SIFILIS CONGENITA, SIN OTRA ESPECIFICACIÓN"
catalogos.cie233,A510,A510 SIFILIS GENITAL PRIMARIA
catalogos.cie234,A511,A511 SIFILIS PRIMARIA ANAL
catalogos.cie235,A512,A512 SIFILIS PRIMARIA EN OTROS SITIOS
catalogos.cie236,A513,A513 SIFILIS SECUNDARIA DE PIEL Y MEMBRANAS MUCOSAS
catalogos.cie237,A514,A514 OTRAS SIFILIS SECUNDARIAS
catalogos.cie238,A515,"A515 SIFILIS PRECOZ, LATENTE"
catalogos.cie239,A519,"A519 SIFILIS PRECOZ, SIN OTRA ESPECIFICACIÓN"
catalogos.cie240,A520†,A520† SIFILIS CARDIOVASCULAR
catalogos.cie241,A521,A521 NEUROSIFILIS SINTOMATICA
catalogos.cie242,A522,A522 NEUROSIFILIS ASINTOMATICA
catalogos.cie243,A523,A523 NEUROSIFILIS NO ESPECIFICADA
catalogos.cie244,A527,A527 OTRAS SIFILIS TARDIAS SINTOMATICAS
catalogos.cie245,A528,"A528 SIFILIS TARDIA, LATENTE"
catalogos.cie246,A529,"A529 SIFILIS TARDIA, NO ESPECIFICADA"
catalogos.cie247,A530,"A530 SIFILIS LATENTE, NO ESPECIFICADA COMO PRECOZ O TARDIA"
catalogos.cie248,A539,"A539 SIFILIS, NO ESPECIFICADA"
catalogos.cie249,A540,A540 INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL O DE GLANDULA ACCESORIA
catalogos.cie250,A541,A541 INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLANDULAS ACCESORIAS
catalogos.cie251,A542†,A542† PELVIPERITONITIS GONOCOCICA Y OTRAS INFECCIONES GONOCOCICAS GENITOURINARIAS
catalogos.cie252,A543,A543 INFECCION GONOCOCICA DEL OJO
catalogos.cie253,A544†,A544† INFECCION GONOCOCICA DEL SISTEMA OSTEOMUSCULAR
catalogos.cie254,A545,A545 FARINGITIS GONOCOCICA
catalogos.cie255,A546,A546 INFECCION GONOCOCICA DEL ANO Y DEL RECTO
catalogos.cie256,A548,A548 OTRAS INFECCIONES GONOCOCICAS
catalogos.cie257,A549,"A549 INFECCION, GONOCOCICA, NO ESPECIFICADA"
catalogos.cie258,A55,A55 LINFOGRANULOMA (VENEREO) POR CLAMIDIAS
catalogos.cie259,A560,A560 INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS
catalogos.cie260,A561†,A561† INFECCION DEL PELVIPERITONEO Y OTROS ORGANOS GENITOURINARIOS DEBIDA A CLAMIDIAS
catalogos.cie261,A562,"A562 INFECCIONES DEL TRACTO GENITOURINARIO DEBIDAS A CLAMIDIAS, SIN OTRA ESPECIFICACION"
catalogos.cie262,A563,A563 INFECCION DEL ANO Y DEL RECTO DEBIDA A CLAMIDIAS
catalogos.cie263,A564,A564 INFECCION DE FARINGE DEBIDA A CLAMIDIAS
catalogos.cie264,A568,A568 INFECCION DE TRANSMISIÓN SEXUAL DE OTROS SITIOS DEBIDA A CLAMIDIAS
catalogos.cie265,A57,A57 CHANCRO BLANDO
catalogos.cie266,A58,A58 GRANULOMA INGUINAL
catalogos.cie267,A590,A590 TRICOMONIASIS UROGENITAL
catalogos.cie268,A598,A598 TRICOMONIASIS DE OTROS SITIOS
catalogos.cie269,A599,"A599 TRICOMONIASIS, NO ESPECIFICADA"
catalogos.cie270,A600,A600 INFECCION DE GENITALES Y TRAYECTO UROGENITAL Y DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE]
catalogos.cie271,A601,A601 INFECCION DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE
catalogos.cie272,A609,"A609 INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE, SIN OTRA ESPECIFICACION"
catalogos.cie273,A630,A630 VERRUGAS (VENEREAS) ANOGENITALES
catalogos.cie274,A638,"A638 OTRAS ENFERMEDADES DE TRANSMISIÓN PREDOMINANTEMENTE SEXUAL, ESPECIFICADAS"
catalogos.cie275,A64,A64 ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA
catalogos.cie276,A65,A65 SIFILIS NO VENEREA
catalogos.cie277,A660,A660 LESIONES INICIALES DE FRAMBESIA
catalogos.cie278,A661,A661 LESIONES PAPILOMATOSAS MULTIPLES Y FRAMBESIA CON PASO DE CANGREJO
catalogos.cie279,A662,A662 OTRAS LESIONES PRECOCES DE LA PIEL EN LA FRAMBESIA
catalogos.cie280,A663,A663 HIPERQUERATOSIS DE FRAMBESIA
catalogos.cie281,A664,A664 GOMA Y ULCERAS DE FRAMBESIA
catalogos.cie282,A665,A665 GANGOSA
catalogos.cie283,A666,A666 LESIONES FRAMBESICAS DE LOS HUESOS Y DE LAS ARTICULACIONES
catalogos.cie284,A667,A667 OTRAS MANIFESTACIONES DE FRAMBESIA
catalogos.cie285,A668,A668 FRAMBESIA LATENTE
catalogos.cie286,A669,"A669 FRAMBESIA , NO ESPECIFICADA"
catalogos.cie287,A670,A670 LESIONES PRIMARIAS DE LA PINTA
catalogos.cie288,A671,A671 LESIONES INTERMEDIAS DE LA PINTA
catalogos.cie289,A672,A672 LESIONES TARDIAS DE LA PINTA
catalogos.cie290,A673,A673 LESIONES MIXTAS DE LA PINTA
catalogos.cie291,A679,"A679 PINTA, NO ESPECIFICADA"
catalogos.cie292,A680,A680 FIEBRE RECURRENTE TRANSMITIDA POR PIOJOS
catalogos.cie293,A681,A681 FIEBRE RECURRENTE TRANSMITIDA POR GARRAPATAS
catalogos.cie294,A689,"A689 FIEBRE RECURRENTE, NO ESPECIFICADA"
catalogos.cie295,A690,A690 ESTOMATITIS ULCERATIVA NECROTIZANTE
catalogos.cie296,A691,A691 OTRAS INFECCIONES DE VICENT
catalogos.cie297,A692,A692 ENFERMEDAD DE LYME
catalogos.cie298,A698,A698 OTRAS INFECCIONES ESPECIFICADAS POR ESPIROQUETAS
catalogos.cie299,A699,"A699 INFECCION POR ESPIROQUETA, NO ESPECIFICADA"
catalogos.cie300,A70,A70 INFECCION DEBIDA A CHLAMYDIA PSITTACI
catalogos.cie301,A710,A710 ESTADO INICIAL DE TRACOMA
catalogos.cie302,A711,A711 ESTADO ACTIVO DE TRACOMA
catalogos.cie303,A719,"A719 TRACOMA, NO ESPECIFICADO"
catalogos.cie304,A740†,A740† CONJUNTIVITIS POR CLAMIDIAS (H13.1*)
catalogos.cie305,A748,A748 OTRAS ENFERMEDADES POR CLAMIDIAS
catalogos.cie306,A749,"A749 INFECCION POR CLAMIDIAS, NO ESPECIFICADA"
catalogos.cie307,A750,A750 TIFUS EPIDEMICO DEBIDO A RICKETTSIA PROWAZEKII TRANSMITIDO POR PIOJOS
catalogos.cie308,A751,A751 TIFUS RECRUDESCENTE [ENFERMEDAD DE BRILL]
catalogos.cie309,A752,A752 TIFUS DEBIDO A RICKETTSIA TYPHI
catalogos.cie310,A753,A753 TIFUS DEBIDO A RICKETTSIA TSUTSUGAMUSHI
catalogos.cie311,A759,"A759 TIFUS, NO ESPECIFICADO"
catalogos.cie312,A770,A770 FIEBRE MACULOSA DEBIDO A RICKETTSIA RICKETTSII
catalogos.cie313,A771,A771 FIEBRE MACULOSA DEBIDO A RICKETTSIA CONORII
catalogos.cie314,A772,A772 FIEBRE MACULOSA DEBIDO A RICKETTSIA SIBERICA
